GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
server,org.nixsolutions.impl,WeatherServiceImpl,3,31,0,0,2,9,1,6,1,6
server,org.nixsolutions.impl,WeatherServiceStarter,68,0,0,0,18,0,3,0,3,0
