GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dao,org.nixsolutions.dao.sessionFactory,CassandraSessionFactory,33,57,0,0,6,13,6,4,6,4
dao,org.nixsolutions.dao.impl,WeatherDaoImpl,13,254,1,1,4,48,2,9,1,9
